alpha,beta,gamma,lambda_max,lambda_scale
8,1,8,2000,1
8,1,0,10,8
8,-8,8,10,1
1,-8,4,10,4
4,-8,8,10,4
4,-8,8,1000,1
8,-8,0,2000,4
4,-8,4,1000,1
4,8,0,2000,4
1,1,4,2000,4
1,1,0,2000,1
1,8,4,10,1
4,1,0,10,8
1,-8,8,2000,1
8,1,8,1000,8
4,1,4,2000,8
1,-8,8,2000,8
8,-8,4,1000,4
8,-8,4,2000,4
1,1,0,10,4
1,8,8,10,8
8,1,4,2000,4
8,1,8,1000,1
4,-8,8,2000,1
1,-8,4,2000,8
4,-8,8,1000,1
1,8,0,1000,1
8,-8,0,2000,4
8,8,8,10,1
1,1,8,1000,8
8,1,0,10,8
1,1,4,1000,8
4,1,0,10,1
1,-8,8,1000,1
1,-8,8,10,4
8,1,0,1000,1
4,1,8,10,4
8,8,8,10,8
1,-8,4,10,8
8,-8,8,1000,4
1,-8,8,10,8
8,-8,8,10,4
1,-8,0,10,4
8,1,8,1000,4
8,1,0,10,1
1,8,4,10,1
1,-8,8,10,4
8,8,4,10,1
4,8,4,1000,8
1,1,4,2000,8
8,8,8,1000,4
8,-8,4,2000,1
1,-8,0,1000,8
8,8,0,10,4
4,-8,4,1000,1
8,-8,8,1000,8
8,-8,4,10,8
4,-8,0,10,1
4,-8,4,1000,4
4,-8,0,2000,8
8,1,4,2000,1
1,8,4,1000,4
8,1,0,1000,1
8,1,8,10,8
1,1,8,10,4
1,8,0,10,4
1,-8,0,10,1
1,1,8,2000,1
1,8,4,10,4
8,-8,4,1000,1
1,8,8,1000,8
4,-8,4,1000,1
8,-8,8,1000,1
8,1,8,1000,4
4,-8,8,1000,4
1,1,8,2000,4
8,1,0,2000,4
1,8,4,2000,1
1,8,0,10,8
8,8,4,1000,1
8,8,4,1000,4
8,-8,8,1000,1
4,8,4,2000,4
8,8,8,1000,1
4,8,4,10,8
1,8,8,2000,8
4,1,4,1000,4
8,-8,8,2000,1
8,-8,8,1000,4
1,1,4,1000,4
8,-8,8,2000,8
4,8,0,1000,1
4,-8,4,2000,8
4,8,0,10,4
4,-8,0,2000,1
8,1,8,1000,1
8,-8,4,10,4
4,1,4,2000,1
8,8,4,2000,8
8,1,4,10,1
8,8,8,2000,4
1,8,8,2000,8
8,8,4,1000,8
4,-8,0,2000,4
8,-8,4,2000,8
8,-8,0,1000,8
1,8,8,2000,1
8,-8,4,2000,8
4,-8,4,1000,4
1,-8,4,1000,1
1,1,8,2000,4
8,-8,8,1000,4
8,8,0,2000,1
1,8,8,10,1
1,1,4,2000,1
8,1,4,10,1
8,8,8,1000,8
8,1,4,10,4
1,8,0,10,8
4,1,8,1000,4
4,8,8,10,8
8,1,0,2000,1
4,1,4,2000,1
4,8,4,10,4
4,1,0,2000,1
1,1,4,10,4
8,-8,4,10,1
4,1,4,2000,4
8,-8,8,2000,1
1,1,8,1000,8
4,8,8,10,4
4,-8,4,2000,8
4,8,8,10,8
4,1,4,1000,8
4,-8,8,1000,1
4,8,0,2000,4
4,-8,8,10,1
4,-8,0,1000,1
8,1,0,2000,4
1,1,0,1000,1
1,1,0,1000,8
4,1,8,2000,1
8,8,0,2000,8
4,1,0,10,1
4,-8,4,10,8
4,8,4,10,1
8,1,4,2000,4
8,1,0,2000,1
8,-8,0,2000,8
8,1,0,1000,4
8,1,4,1000,8
8,-8,0,1000,8
4,-8,8,1000,8
8,-8,4,2000,1
1,1,0,2000,1
8,1,0,1000,8
8,8,4,1000,4
8,8,8,10,4
1,-8,4,2000,1
1,1,4,1000,8
8,1,8,2000,4
8,8,4,2000,4
4,8,4,1000,1
8,8,8,2000,8
1,1,0,2000,8
1,8,8,10,1
1,8,8,1000,1
8,-8,4,1000,8
8,1,0,2000,8
1,-8,8,2000,8
1,-8,8,1000,4
8,-8,8,1000,8
4,1,0,1000,8
4,1,4,1000,1
4,8,0,10,4
1,1,4,2000,1
1,8,8,2000,4
4,8,0,1000,8
8,8,0,2000,8
8,1,8,2000,8
8,8,8,1000,8
1,-8,0,2000,8
1,8,8,1000,4
4,1,4,10,8
4,1,0,2000,4
1,1,4,1000,1
4,1,8,2000,1
1,8,8,10,8
8,8,0,10,1
4,-8,8,2000,4
1,-8,0,1000,1
8,8,0,10,4
4,1,0,2000,8
4,1,4,1000,4
4,8,4,1000,8
8,-8,4,2000,8
1,-8,8,2000,4
1,-8,0,2000,8
1,8,8,1000,8
4,-8,0,1000,8
8,8,4,2000,1
4,1,4,2000,8
8,1,8,1000,8
4,-8,0,1000,8
8,1,4,1000,1
8,8,4,10,4
8,8,0,2000,1
8,-8,0,1000,1
1,1,8,2000,4
1,8,8,2000,8
8,-8,4,1000,1
4,8,8,2000,1
8,-8,0,2000,1
4,1,4,10,8
1,8,0,1000,4
8,-8,0,2000,1
1,-8,0,1000,4
1,1,8,1000,8
8,-8,8,10,8
1,8,4,1000,1
1,-8,8,2000,1
8,1,4,2000,8
4,-8,0,10,1
8,8,4,10,4
1,1,0,10,8
1,8,4,2000,1
1,1,0,1000,4
4,8,4,10,1
8,-8,8,2000,4
8,1,4,10,1
1,8,4,2000,8
8,1,8,2000,4
4,-8,0,2000,8
1,8,0,2000,8
4,8,8,1000,1
4,-8,0,2000,1
4,1,4,10,1
8,8,8,2000,4
4,8,0,2000,8
8,8,0,2000,4
1,1,8,10,8
8,8,8,1000,4
1,1,8,10,8
1,-8,0,2000,8
1,-8,8,10,1
8,8,4,10,8
4,1,8,1000,1
1,8,4,1000,8
4,8,0,2000,4
8,8,4,1000,4
8,8,8,2000,8
4,1,8,2000,4
1,-8,0,2000,1
8,1,0,1000,8
4,1,0,1000,4
8,8,0,1000,8
4,1,4,2000,8
4,8,0,2000,1
4,-8,8,1000,8
1,-8,0,1000,1
8,-8,4,1000,8
1,8,4,2000,4
1,-8,4,1000,4
8,1,4,2000,4
4,8,0,10,4
4,8,0,1000,4
1,1,8,10,1
4,-8,8,2000,8
1,-8,8,2000,8
1,8,8,2000,4
1,8,0,1000,8
8,1,8,2000,4
8,-8,0,10,4
1,1,8,1000,4
4,1,0,10,4
1,-8,0,2000,4
8,-8,4,10,4
4,8,4,10,4
1,8,4,10,8
8,1,4,10,4
4,1,8,10,8
4,1,8,1000,8
1,-8,8,10,8
1,1,8,2000,8
1,8,4,1000,1
4,8,4,10,8
8,1,4,10,8
8,-8,0,10,1
8,-8,0,2000,8
8,-8,0,2000,1
1,-8,8,2000,4
8,-8,0,1000,4
4,1,0,10,4
8,8,8,2000,1
1,-8,4,1000,8
1,-8,4,10,1
4,8,0,10,1
4,-8,4,10,1
1,-8,8,1000,8
4,8,8,2000,4
1,8,8,1000,4
8,1,8,10,4
4,8,0,10,8
4,8,8,10,8
8,8,8,2000,4
4,-8,8,10,4
4,1,0,1000,4
4,1,0,2000,4
4,8,8,2000,8
8,-8,8,10,8
1,8,0,1000,1
4,8,8,1000,8
4,8,8,2000,4
4,8,8,2000,1
1,-8,0,10,8
4,-8,8,2000,8
8,-8,4,2000,4
8,8,0,10,1
4,8,4,1000,8
4,1,8,10,8
4,8,8,2000,1
8,-8,8,2000,1
4,-8,0,1000,4
4,1,4,1000,8
8,-8,0,1000,8
1,8,4,10,1
8,8,8,2000,1
4,-8,8,2000,8
4,8,8,1000,1
4,-8,4,10,4
4,1,8,1000,1
8,-8,4,1000,8
4,-8,0,1000,8
4,-8,8,10,1
8,-8,8,10,1
8,8,0,10,8
4,8,8,2000,8
4,1,4,10,4
8,1,8,2000,1
8,1,0,1000,1
8,1,0,10,4
1,1,8,1000,4
4,-8,4,2000,4
8,1,4,2000,8
1,8,0,2000,4
8,8,4,2000,4
8,-8,0,1000,1
1,1,0,10,8
1,-8,0,2000,4
1,-8,8,10,1
8,1,8,10,8
4,-8,4,1000,8
8,1,8,2000,8
1,1,8,1000,1
1,8,4,2000,1
4,-8,0,2000,4
1,8,0,1000,4
4,8,4,2000,4
1,-8,4,2000,4
1,-8,0,2000,1
1,8,0,1000,1
1,-8,4,1000,1
1,8,4,2000,8
1,8,4,2000,8
4,8,8,1000,4
1,-8,4,2000,8
8,8,0,1000,8
1,1,4,1000,1
1,-8,0,1000,4
8,-8,0,10,1
1,8,4,1000,4
4,1,0,2000,8
1,8,8,1000,8
1,1,0,1000,4
8,-8,8,10,8
4,-8,4,2000,1
8,8,4,2000,1
1,-8,0,1000,4
8,8,8,10,8
1,-8,4,10,8
8,8,0,1000,4
1,-8,4,10,1
1,-8,8,1000,4
4,1,4,1000,1
1,1,4,10,4
4,1,0,2000,4
4,-8,0,10,4
8,8,4,10,8
8,1,0,2000,1
1,1,0,10,1
8,8,4,1000,8
4,8,8,10,4
4,1,4,10,1
4,1,4,1000,1
4,1,8,2000,4
8,8,4,2000,8
1,8,8,10,4
8,1,8,10,4
4,-8,0,1000,4
8,-8,4,1000,1
4,1,8,10,1
1,8,8,10,8
4,-8,4,10,4
1,1,4,2000,8
4,-8,4,2000,1
1,1,0,1000,8
1,1,0,2000,8
8,8,0,1000,4
8,-8,8,10,1
8,-8,4,10,4
4,8,4,2000,8
8,-8,0,10,4
8,-8,4,1000,4
1,1,8,2000,8
4,1,8,1000,1
4,1,8,2000,4
4,1,8,1000,4
4,-8,8,2000,1
8,8,4,10,1
4,-8,0,1000,1
4,-8,8,2000,4
8,1,0,1000,4
4,1,8,10,8
4,-8,4,2000,4
1,-8,8,2000,4
4,8,0,2000,1
1,1,0,1000,1
1,1,0,10,8
4,-8,4,2000,4
1,8,0,2000,4
4,1,4,1000,4
1,8,0,10,4
8,1,8,2000,8
8,1,0,2000,8
4,8,4,10,8
1,8,8,10,4
1,8,8,1000,4
1,8,4,10,4
4,1,8,2000,8
1,8,8,2000,1
1,-8,0,10,8
1,1,0,10,4
4,1,0,1000,1
1,-8,8,2000,1
8,8,4,1000,8
4,8,8,2000,4
4,1,0,1000,1
4,1,0,2000,1
4,-8,8,2000,4
1,-8,4,2000,1
4,1,0,2000,8
4,1,4,1000,8
1,-8,0,10,4
4,1,0,1000,8
1,8,0,10,1
1,-8,4,10,4
4,8,8,1000,1
4,-8,8,10,8
1,-8,4,1000,4
4,-8,0,2000,8
4,8,4,1000,4
8,1,4,1000,4
8,8,0,1000,1
4,1,4,10,4
1,1,8,2000,1
8,8,4,10,8
1,8,4,10,8
4,1,8,10,4
8,-8,4,2000,1
4,-8,8,10,8
8,1,4,1000,4
8,1,8,10,1
4,1,4,10,1
8,-8,4,2000,4
1,8,0,1000,4
8,8,8,10,1
4,-8,0,2000,1
1,1,8,10,1
1,1,8,1000,1
8,8,0,1000,1
4,1,0,1000,1
1,-8,4,2000,1
1,8,4,1000,8
1,-8,4,1000,8
8,8,8,1000,8
8,8,0,2000,1
1,8,0,2000,1
1,-8,4,1000,8
4,8,4,1000,4
4,8,0,10,8
4,8,0,2000,1
4,-8,0,10,4
1,1,4,10,4
4,-8,8,1000,4
1,8,0,2000,8
1,8,8,2000,4
1,1,8,1000,4
4,8,8,1000,4
8,1,8,10,1
4,8,4,1000,4
8,1,4,1000,1
8,1,4,1000,4
8,8,8,2000,1
4,8,0,2000,8
8,8,0,2000,8
1,-8,8,10,4
8,-8,0,10,8
1,-8,0,1000,8
8,1,4,10,8
8,1,0,10,8
4,1,8,1000,4
8,8,0,1000,4
1,8,0,2000,4
4,8,4,2000,1
1,8,0,10,1
8,1,4,2000,1
1,1,4,1000,1
1,8,8,1000,1
8,8,0,2000,4
8,1,8,1000,8
1,-8,4,2000,8
4,1,4,10,8
8,8,4,10,1
1,8,0,1000,8
4,-8,0,10,1
8,8,8,10,4
4,-8,0,10,4
8,8,4,1000,1
8,1,4,2000,1
1,1,8,1000,1
4,1,8,1000,8
8,8,0,10,4
8,-8,8,2000,8
4,1,0,2000,1
4,1,4,2000,4
1,1,4,1000,4
4,1,0,10,4
8,8,8,10,8
8,1,4,10,4
8,-8,8,2000,4
4,-8,8,10,8
1,1,0,1000,4
1,8,0,10,1
4,8,4,1000,1
4,-8,0,10,8
1,8,8,10,1
4,8,8,10,1
4,-8,4,1000,8
4,8,0,1000,8
1,-8,8,1000,4
1,-8,8,1000,8
1,8,4,1000,1
4,-8,8,10,4
8,-8,0,10,8
8,1,4,2000,8
1,1,4,10,8
4,8,0,1000,1
1,-8,0,10,1
1,-8,8,10,1
1,-8,4,2000,4
4,1,4,2000,1
8,1,8,1000,1
1,-8,4,10,8
8,1,4,10,8
8,-8,8,1000,8
4,8,8,10,1
4,1,4,2000,4
1,8,0,10,4
4,8,0,1000,4
1,1,8,10,8
1,1,0,2000,8
4,8,4,2000,8
1,1,4,2000,4
8,-8,0,10,4
4,-8,0,2000,4
8,1,8,10,8
1,-8,4,1000,4
4,1,4,10,4
4,8,4,1000,1
1,1,4,1000,8
4,-8,4,1000,8
1,1,8,10,4
1,1,8,10,4
1,1,0,1000,8
8,-8,4,10,8
8,1,8,1000,4
1,1,4,10,8
8,-8,8,2000,4
4,8,8,2000,8
8,1,4,1000,1
4,8,8,10,4
8,8,0,10,1
8,1,8,10,1
4,8,4,2000,1
1,8,4,1000,8
1,1,8,2000,8
8,1,4,1000,8
1,8,4,10,8
1,-8,0,1000,8
4,-8,4,2000,8
4,-8,8,10,1
1,1,8,2000,1
1,1,4,1000,4
1,8,0,2000,1
4,8,4,2000,8
8,8,0,10,8
4,8,0,1000,8
4,-8,0,1000,1
8,8,0,2000,4
4,1,8,1000,8
1,8,0,2000,1
1,-8,4,2000,4
1,-8,0,10,1
1,8,4,2000,4
4,8,0,1000,1
4,8,8,1000,8
1,-8,0,10,8
1,1,4,10,8
8,-8,8,10,4
1,1,0,2000,4
4,8,4,2000,4
8,8,8,1000,1
1,-8,4,1000,1
8,-8,0,1000,4
8,1,0,10,1
1,8,8,1000,1
1,8,0,10,8
8,8,4,1000,1
1,-8,4,10,4
1,8,4,2000,4
4,8,0,10,1
4,1,0,10,8
1,-8,0,2000,1
4,-8,0,10,8
1,1,0,10,1
1,1,4,2000,8
1,-8,0,10,4
8,-8,0,10,8
4,-8,4,1000,4
1,-8,8,1000,1
1,-8,4,10,1
1,-8,0,2000,4
4,8,0,2000,8
8,8,8,2000,8
1,1,4,2000,1
1,1,0,2000,4
8,-8,0,1000,1
1,1,0,1000,1
8,1,0,10,4
8,-8,0,2000,4
4,1,0,1000,4
8,-8,0,10,1
8,-8,4,1000,4
4,1,8,10,1
8,1,0,10,1
1,-8,8,10,8
4,1,0,10,8
4,8,0,10,8
4,-8,4,10,1
1,1,4,2000,4
4,1,0,1000,8
8,8,8,1000,4
1,1,0,10,4
8,1,0,2000,4
4,-8,4,2000,1
8,8,4,2000,4
1,8,8,10,4
4,-8,4,10,1
4,8,4,10,1
4,-8,8,1000,8
1,-8,8,1000,1
4,8,8,1000,8
8,1,8,10,4
8,8,8,10,1
1,1,4,10,1
4,8,4,2000,1
4,8,0,1000,4
8,8,8,1000,1
8,-8,8,1000,1
8,-8,0,2000,8
8,1,0,1000,8
4,8,4,10,4
1,8,8,2000,1
8,8,0,1000,1
4,8,8,1000,4
8,-8,0,1000,4
4,-8,4,10,8
4,-8,4,10,4
8,8,0,10,8
8,-8,8,2000,8
8,8,4,2000,1
1,8,4,10,4
8,1,0,2000,8
8,8,4,10,4
8,1,0,10,4
4,-8,8,2000,1
4,1,8,10,4
8,8,8,10,4
1,8,0,1000,8
4,-8,0,10,8
8,-8,4,10,8
1,8,4,1000,4
8,1,0,1000,4
8,8,4,2000,8
8,-8,4,10,1
1,-8,8,1000,8
1,1,0,10,1
1,1,4,10,1
1,1,4,10,1
1,1,0,2000,4
1,8,0,2000,8
1,1,8,10,1
4,1,8,2000,1
8,-8,8,10,4
4,-8,8,1000,4
4,8,8,10,1
8,8,0,1000,8
4,-8,0,1000,4
4,1,8,10,1
8,-8,4,10,1
1,-8,0,1000,1
4,1,8,2000,8
4,1,0,10,1
8,1,8,2000,1
4,1,8,2000,8
4,8,0,10,1
4,-8,4,10,8
1,1,0,2000,1
8,1,4,1000,8
